id,retweet_count,favorite_count
892420643555336193,7895,36994
892177421306343426,5865,31845
891815181378084864,3869,23985
891689557279858688,8062,40331
891327558926688256,8729,38539
891087950875897856,2902,19374
890971913173991426,1919,11297
890729181411237888,17627,62421
890609185150312448,4002,26660
890240255349198849,6863,30520
890006608113172480,6844,29387
889880896479866881,4659,26668
889665388333682689,9362,45990
889638837579907072,4208,25919
889531135344209921,2109,14472
889278841981685760,4996,24123
888917238123831296,4201,27865
888804989199671297,3978,24471
888554962724278272,3277,18947
888078434458587136,3243,20825
887705289381826560,5022,28908
887517139158093824,10966,44339
887473957103951883,16848,65924
887343217045368832,9767,32237
887101392804085760,5563,29265
886983233522544640,7164,33553
886736880519319552,3024,11503
886680336477933568,4162,21470
886366144734445568,2977,20241
886267009285017600,4,115
886258384151887873,5889,26767
886054160059072513,101,0
885984800019947520,6306,31213
885528943205470208,5981,34422
885518971528720385,3483,19589
885311592912609280,17325,0
885167619883638784,4089,20978
884925521741709313,16936,74007
884876753390489601,5233,26679
884562892145688576,4397,23258
884441805382717440,5312,25871
884247878851493888,19010,69756
884162670584377345,2786,19501
883838122936631299,3221,20917
883482846933004288,9246,43949
883360690899218434,3462,21701
883117836046086144,6213,35542
882992080364220416,3644,22869
882762694511734784,4575,27082
882627270321602560,5666,26747
882268110199369728,10837,42978
882045870035918850,4583,28083
881906580714921986,3178,23286
881666595344535552,9987,48495
881633300179243008,7,121
881536004380872706,14930,47331
881268444196462592,4903,22202
880935762899988482,2609,16306
880872448815771648,3575,20390
880465832366813184,5832,27310
880221127280381952,3924,25854
880095782870896641,4053,26477
879862464715927552,3264,21408
879674319642796034,10,300
879492040517615616,2979,22472
879415818425184262,41573,101409
879376492567855104,2929,16113
879130579576475649,6371,0
879050749262655488,4381,21590
879008229531029506,2514,18184
878776093423087618,3842,18565
878604707211726852,6692,28925
878404777348136964,1205,0
878316110768087041,6252,0
878281511006478336,1205,7397
878057613040115712,6371,40313
877736472329191424,17824,76265
877611172832227328,74,0
877556246731214848,3571,21765
877316821321428993,4856,26270
877201837425926144,5240,25988
876838120628539392,3129,19862
876537666061221889,4386,22623
876484053909872640,2232,17999
876120275196170240,4380,26811
875747767867523072,4003,24164
875144289856114688,4628,21035
875097192612077568,5703,26355
875021211251597312,4441,24460
874680097055178752,4356,26721
874434818259525634,13722,0
874296783580663808,3877,25008
874057562936811520,3731,21806
874012996292530176,9705,33105
873580283840344065,3704,23258
873337748698140672,1500,0
873213775632977920,1500,6907
872967104147763200,5102,26244
872820683541237760,3500,14166
872620804844003328,3451,19964
872486979161796608,8516,39179
872122724285648897,7663,33117
871879754684805121,10449,36384
871762521631449091,3291,19507
871515927908634625,3278,19432
871166179821445120,5415,0
871102520638267392,5222,20188
871032628920680449,3619,21894
870804317367881728,5876,32455
870726314365509632,3,118
870656317836468226,2500,11963
870374049280663552,25104,80016
870308999962521604,3950,21134
870063196459192321,7903,35368
869772420881756160,9591,41077
869702957897576449,6009,27312
869596645499047938,2985,15453
869227993411051520,3603,19766
868880397819494401,13768,63411
868639477480148993,1984,0
868622495443632128,5060,25876
868552278524837888,1984,9789
867900495410671616,3997,23464
867774946302451713,7021,32945
867421006826221569,2376,15635
867072653475098625,116,0
867051520902168576,7537,31301
866720684873056260,4603,19474
866686824827068416,3326,18727
866450705531457537,33795,118884
866334964761202691,13722,51025
866094527597207552,8049,0
865718153858494464,5391,24959
865359393868664832,4798,25765
865006731092295680,7380,27267
864873206498414592,8371,31418
864279568663928832,2906,14204
864197398364647424,8538,29298
863907417377173506,3978,20086
863553081350529029,4031,14901
863471782782697472,2344,0
863432100342583297,5057,23252
863427515083354112,92,2178
863079547188785154,1066,8571
863062471531167744,2344,8280
862831371563274240,4968,18730
862722525377298433,3418,16681
862457590147678208,4775,20008
862096992088072192,22424,72779
861383897657036800,10362,35310
861288531465048066,4009,16829
861005113778896900,3698,16356
860981674716409858,2088,0
860924035999428608,785,0
860563773140209665,2088,7362
860524505164394496,5144,23168
860276583193509888,3391,17980
860184849394610176,5683,16348
860177593139703809,30077,0
859924526012018688,3985,19200
859851578198683649,3411,15127
859607811541651456,1523,18252
859196978902773760,29353,88374
859074603037188101,13270,33297
858860390427611136,7931,0
858843525470990336,3413,15297
858471635011153920,4736,21155
858107933456039936,2846,15486
857989990357356544,2534,15871
857746408056729600,10383,33731
857393404942143489,1608,5798
857263160327368704,4420,19752
857214891891077121,17,223
857062103051644929,168,0
857029823797047296,3925,18660
856543823941562368,2830,16094
856526610513747968,1846,11721
856330835276025856,655,0
856288084350160898,15,510
856282028240666624,6187,27458
855862651834028034,25,342
855860136149123072,983,4935
855857698524602368,2083,11752
855851453814013952,17668,45136
855818117272018944,5342,26387
855459453768019968,8107,29633
855245323840757760,5886,0
855138241867124737,44,0
854732716440526848,5992,22668
854482394044301312,6819,29120
854365224396361728,4646,18781
854120357044912130,7430,31840
854010172552949760,3126,16132
853760880890318849,5705,28510
853639147608842240,10030,34686
853299958564483072,3531,15469
